,count,year
1800,3749,1800
1801,1453,1801
1802,1250,1802
1803,1231,1803
1804,1182,1804
1805,982,1805
1806,1137,1806
1807,956,1807
1808,1139,1808
1809,1207,1809
1810,1203,1810
1811,1216,1811
1812,1224,1812
1813,1126,1813
1814,1187,1814
1815,1812,1815
1816,1359,1816
1817,1268,1817
1818,1320,1818
1819,1256,1819
1820,1605,1820
1821,1720,1821
1822,1633,1822
1823,1621,1823
1824,1760,1824
1825,1826,1825
1826,1883,1826
1827,2354,1827
1828,2500,1828
1829,2558,1829
1830,2987,1830
1831,2424,1831
1832,2524,1832
1833,2751,1833
1834,3154,1834
1835,3607,1835
1836,3546,1836
1837,3658,1837
1838,3710,1838
1839,3936,1839
1840,4386,1840
1841,4267,1841
1842,4644,1842
1843,4832,1843
1844,4768,1844
1845,5045,1845
1846,5348,1846
1847,4712,1847
1848,5170,1848
1849,5257,1849
1850,7089,1850
1851,7511,1851
1852,6690,1852
1853,7603,1853
1854,7439,1854
1855,8220,1855
1856,8001,1856
1857,9370,1857
1858,8324,1858
1859,8999,1859
1860,9197,1860
1861,7480,1861
1862,8084,1862
1863,8689,1863
1864,8870,1864
1865,8525,1865
1866,9270,1866
1867,9501,1867
1868,9885,1868
1869,10218,1869
1870,11845,1870
1871,10533,1871
1872,12587,1872
1873,13203,1873
1874,13372,1874
1875,14758,1875
1876,14264,1876
1877,15071,1877
1878,15889,1878
1879,16457,1879
1880,19278,1880
1881,17733,1881
1882,18360,1882
1883,19499,1883
1884,18640,1884
1885,18991,1885
1886,20238,1886
1887,21610,1887
1888,21927,1888
1889,23878,1889
1890,24141,1890
1891,24539,1891
1892,25492,1892
1893,28948,1893
1894,36518,1894
1895,40362,1895
1896,41334,1896
1897,46337,1897
1898,47053,1898
1899,55860,1899
1900,62719,1900
1901,60049,1901
1902,65300,1902
1903,74782,1903
1904,72355,1904
1905,74819,1905
1906,76652,1906
1907,78887,1907
1908,81386,1908
1909,84576,1909
1910,87923,1910
1911,90140,1911
1912,94668,1912
1913,96395,1913
1914,89906,1914
1915,76246,1915
1916,69634,1916
1917,65329,1917
1918,62246,1918
1919,65128,1919
1920,80452,1920
1921,87996,1921
1922,92371,1922
1923,94377,1923
1924,102097,1924
1925,106135,1925
1926,110879,1926
1927,114802,1927
1928,120464,1928
1929,130585,1929
1930,141257,1930
1931,139220,1931
1932,142120,1932
1933,135286,1933
1934,136615,1934
1935,138028,1935
1936,137951,1936
1937,133597,1937
1938,137720,1938
1939,139997,1939
1940,156546,1940
1941,125601,1941
1942,118868,1942
1943,112122,1943
1944,98689,1944
1945,99095,1945
1946,124825,1946
1947,142727,1947
1948,164297,1948
1949,191083,1949
1950,266915,1950
1951,303926,1951
1952,317859,1952
1953,337055,1953
1954,330482,1954
1955,333313,1955
1956,346370,1956
1957,376776,1957
1958,392406,1958
1959,416269,1959
1960,472931,1960
1961,466018,1961
1962,486938,1962
1963,514049,1963
1964,559027,1964
1965,626058,1965
1966,665142,1966
1967,712199,1967
1968,770141,1968
1969,831190,1969
1970,946709,1970
1971,877319,1971
1972,889712,1972
1973,952107,1973
1974,956453,1974
1975,1010161,1975
1976,1089123,1976
1977,1217860,1977
1978,1291659,1978
1979,1346674,1979
1980,1472888,1980
1981,1472170,1981
1982,1524334,1982
1983,1590389,1983
1984,1650030,1984
1985,1739635,1985
1986,1837877,1986
1987,1920867,1987
1988,2025665,1988
1989,2144989,1989
1990,2301017,1990
1991,2329793,1991
1992,2466819,1992
1993,2484074,1993
1994,2686050,1994
1995,2808528,1995
1996,2976393,1996
1997,3161063,1997
1998,3383230,1998
1999,3590389,1999
2000,3975157,2000
2001,4185771,2001
2002,4538921,2002
2003,4852915,2003
2004,5276239,2004
2005,5684810,2005
2006,6181823,2006
2007,6583721,2007
2008,7141898,2008
2009,7651786,2009
2010,8252765,2010
2011,8756629,2011
2012,9240626,2012
2013,9820164,2013
2014,10059989,2014
2015,10235682,2015
2016,10242168,2016
2017,9548547,2017
2018,4662811,2018
2019,62807,2019
